artifact	role	loc	bytes
packages/contracts/src/stream-events.ts	stream-ts-static	334	7814
packages/contracts/src/stream-event-parser.ts	stream-ts-runtime	194	10376
packages/contracts/schemas/stream-event.v1.schema.json	stream-json-schema	1037	23369
apps/api/internal/dto/stream_event.go	stream-go-dto	50	1312
apps/ai-service/src/models/stream_event.py	stream-python-pydantic	93	2928
apps/api/internal/dto/health_workspace.go	workspace-go-dto	77	3566
apps/web/src/features/workspace/types/workspace.ts	workspace-ts-dto	171	4287
apps/web/src/features/workspace/api/workspaceApi.ts	workspace-handwritten-client	206	5678
apps/api/internal/service/ai_client.go	internal-go-client-contract	546	20065
apps/ai-service/src/api/routes/runtime.py	internal-python-http-contract	332	12537
