file	raw_bytes	gzip_bytes	brotli_bytes
apps/web/dist/assets/AssistantChatPanel-BHGKyt3E.js	449171	130825	111339
apps/web/dist/assets/BodyExplorer3D-B9qOR5Lq.js	1234320	283692	230527
apps/web/dist/assets/BodyExplorerLoadingState-DyeSlS23.js	3349	1425	1274
apps/web/dist/assets/ConsultationPage-CYUawQao.js	354251	103989	86817
apps/web/dist/assets/DiagnosisHistoryPanel-DfGalLml.js	1979	986	784
apps/web/dist/assets/DiagnosisPanel-k4Z7evkU.js	5852	2194	1807
apps/web/dist/assets/OnboardingPage-D5jE0LF8.js	32897	9610	7983
apps/web/dist/assets/SharePage-xFL466oi.js	1474	805	681
apps/web/dist/assets/activeTurnReducer-CyODCzf-.js	8047	3081	2700
apps/web/dist/assets/api-client-BDDR25DZ.js	705	401	341
apps/web/dist/assets/chevron-down-Pax_5A3d.js	117	131	107
apps/web/dist/assets/clientDiagnostics-DWwlhVcl.js	701	428	355
apps/web/dist/assets/consultationService-IWudl6VG.js	8830	2563	2255
apps/web/dist/assets/geist-cyrillic-ext-wght-normal-DjL33-gN.woff2	7420	7443	7424
apps/web/dist/assets/geist-cyrillic-wght-normal-BEAKL7Jp.woff2	15084	15107	15084
apps/web/dist/assets/geist-latin-ext-wght-normal-DC-KSUi6.woff2	16512	16540	16514
apps/web/dist/assets/geist-latin-wght-normal-BgDaEnEv.woff2	29400	29428	29404
apps/web/dist/assets/geist-vietnamese-wght-normal-6IgcOCM7.woff2	8004	8027	8008
apps/web/dist/assets/index-ByhKIvyP.js	353697	109188	93846
apps/web/dist/assets/index-DTRpZAQD.css	133569	21290	16701
apps/web/dist/assets/react-H_x1al2E.js	8220	3172	2849
apps/web/dist/assets/upload.types-ChQzPCQo.js	2139	1004	827
apps/web/dist/index.html	877	473	328
TOTAL	2676615	751802	637955
